9,2,69
7,2,60
3,4,13
8,1,64
1,2,40
3,3,43
5,1,48
8,1,84
3,5,52
6,3,55
10,2,28
1,1,74
5,1,51
8,4,32
2,1,51
2,5,100
7,4,69
3,5,30
8,2,21
3,1,42
4,3,44
4,1,48
8,1,60
6,2,40
5,1,48
3,4,55
9,2,55
9,3,51
8,3,30
9,4,83
4,5,52
8,3,43
7,5,38
7,2,17
10,3,42
2,5,64
1,3,72
7,5,37
4,2,72
7,4,66
10,5,24
2,5,75
3,3,52
3,1,34
4,4,37
7,1,71
8,2,45
10,2,46
2,4,50
10,3,55
9,2,15
10,1,53
6,1,64
9,1,40
7,4,8
7,4,58
2,4,57
5,5,63
4,5,47
2,3,34
1,1,61
6,2,76
7,3,44
7,4,64
5,5,62
9,1,50
10,3,66
6,1,62
10,5,34
3,2,68
5,5,61
1,4,10
10,5,68
7,5,47
9,3,52
7,5,61
8,5,57
1,4,44
7,2,56
4,1,40
7,3,57
7,5,48
2,4,35
5,1,34
2,3,57
3,3,23
5,5,47
2,1,20
6,3,66
9,4,26
4,4,65
2,1,49
8,4,30
10,4,33
3,3,39
7,5,19
6,2,88
10,3,66
8,2,42
2,2,44
4,3,43
5,2,65
5,3,38
8,1,54
4,3,61
5,2,49
5,1,43
5,4,30
4,3,46
8,5,50
6,4,80
2,2,65
4,2,64
6,4,51
9,5,79
2,5,36
4,1,69
6,3,49
10,1,63
9,5,78
9,3,51
1,2,78
4,1,78
5,4,58
5,3,61
7,1,55
2,4,54
3,2,66
7,5,55
6,4,61
9,4,57
6,2,28
7,1,48
4,1,54
6,1,51
10,3,72
4,3,22
5,4,33
3,2,42
2,3,85
1,2,89
7,4,35
5,5,25
5,2,31
3,4,47
6,4,35
7,3,46
1,5,89
9,2,42
6,3,94
5,4,62
1,4,43
4,4,73
10,2,49
6,1,48
8,4,24
8,5,57
9,3,50
2,5,49
7,3,31
9,3,49
4,1,65
8,2,66
9,4,58
3,3,71
4,2,61
9,2,70
2,5,55
2,2,51
9,5,20
4,4,35
6,2,66
1,5,65
9,3,74
8,1,61
2,3,55
7,2,29
5,3,17
2,3,89
9,4,32
5,5,73
4,2,51
10,2,81
3,5,47
7,4,52
9,5,41
8,4,24
