7,2,43
10,1,64
2,3,45
2,4,14
6,2,54
1,5,39
6,2,44
9,2,39
1,5,74
10,3,28
8,1,69
1,4,48
9,4,57
9,1,50
3,2,50
9,5,54
3,1,22
2,4,46
10,3,59
2,1,68
6,4,14
7,4,37
5,1,48
1,2,53
4,1,31
7,2,47
5,2,41
1,5,36
7,5,61
2,5,47
8,2,33
8,2,59
5,3,50
2,1,74
5,5,46
9,1,67
5,1,63
3,5,37
4,2,72
8,5,27
10,3,77
9,4,37
9,4,51
2,3,72
2,2,54
2,1,41
1,4,39
3,5,36
8,4,45
7,1,54
6,2,26
3,5,41
6,5,5
6,1,61
5,1,59
5,2,35
9,1,91
4,2,48
7,2,22
8,2,59
2,2,45
4,4,49
8,3,60
1,3,29
7,2,73
5,5,26
9,3,58
10,2,72
1,5,69
1,4,26
3,4,71
6,1,56
8,2,43
10,3,63
7,5,12
7,5,52
9,3,69
1,1,33
9,2,25
1,3,43
1,3,39
8,5,36
10,2,65
4,5,61
2,5,48
6,5,39
5,5,44
6,2,52
3,2,20
6,3,44
10,4,21
2,1,55
5,4,29
2,2,42
9,5,34
4,5,42
8,3,57
7,2,40
8,1,53
7,3,55
5,1,56
8,3,31
10,2,77
4,4,36
7,4,45
2,3,33
3,3,66
8,5,53
1,1,53
7,5,28
7,5,100
7,3,44
1,4,36
7,1,41
5,1,18
7,2,43
10,2,35
10,1,34
9,3,48
7,1,37
6,3,48
4,4,19
2,5,97
10,1,24
1,3,37
8,1,60
10,1,51
2,5,27
4,3,42
9,4,66
5,2,32
3,3,63
8,1,27
7,5,55
7,3,59
3,4,100
6,4,74
1,3,59
8,3,88
2,5,28
8,1,44
1,5,67
2,1,67
4,2,46
4,1,43
10,5,50
5,3,66
5,1,46
8,5,45
5,3,36
4,3,29
10,3,27
10,1,15
3,4,58
1,1,58
10,3,60
10,2,40
4,2,69
5,4,61
6,1,39
7,2,32
1,3,36
4,3,59
2,1,57
6,2,51
3,2,31
1,2,68
9,5,32
1,3,60
3,2,84
6,1,74
9,5,40
2,3,72
5,2,74
7,3,21
6,2,61
10,5,47
1,3,58
8,4,79
4,4,59
1,2,62
9,4,76
1,2,79
2,2,99
4,4,66
10,4,25
3,4,49
8,4,73
5,4,0
2,5,20
10,1,57
9,4,43
6,3,44
10,5,82
3,2,30
8,2,27
8,1,23
5,4,63
3,4,51
7,1,30
3,5,48
9,1,41
6,5,73
9,4,51
3,4,55
3,2,28
8,1,15
5,4,22
6,2,34
10,4,58
10,4,40
3,4,48
3,2,61
1,5,52
4,4,92
8,2,39
6,1,18
9,1,68
4,5,23
7,5,36
6,3,51
2,2,33
6,5,87
1,3,91
2,5,72
5,2,62
2,1,73
6,5,36
6,1,61
3,4,69
1,1,57
6,3,56
10,3,3
1,1,49
6,4,51
8,2,78
2,4,38
4,3,54
3,3,59
9,5,55
9,1,39
7,1,44
4,2,27
1,2,40
5,5,41
7,2,63
9,4,31
6,5,34
5,1,40
2,3,23
10,4,42
9,3,48
9,1,19
3,3,76
10,1,53
6,1,45
5,3,40
1,4,5
8,1,77
3,1,10
5,3,21
3,1,54
8,5,32
8,4,60
6,4,53
7,4,69
1,1,55
10,4,54
10,3,49
8,4,45
5,2,7
9,2,32
1,5,52
8,2,47
5,1,31
2,4,39
4,2,69
8,1,43
3,3,50
3,1,53
4,5,38
2,4,67
9,2,35
1,4,41
2,3,58
6,5,29
4,1,62
1,1,62
5,5,78
9,5,44
9,4,49
5,5,48
2,1,43
6,1,49
4,5,72
6,5,57
3,4,43
6,1,49
10,4,60
1,4,28
4,2,40
6,4,56
4,5,57
9,2,30
2,5,45
5,4,69
3,1,56
8,3,53
1,5,42
3,3,53
3,5,28
5,3,15
3,3,50
4,5,39
9,2,61
7,3,42
10,5,31
4,3,58
8,4,72
3,3,88
4,3,35
8,1,39
3,1,53
2,1,4
1,2,58
6,4,79
9,3,69
7,3,34
7,3,66
3,4,80
7,4,36
1,4,64
3,5,33
4,4,40
7,2,54
5,1,63
9,3,27
5,3,75
2,3,28
4,5,63
5,2,50
4,3,88
8,5,11
7,5,46
6,4,48
8,5,91
2,2,23
2,2,32
8,4,60
1,4,53
4,3,53
8,3,31
7,3,40
10,2,67
1,5,44
8,5,33
7,4,44
10,1,34
1,2,82
3,1,81
3,1,12
2,3,50
7,3,51
10,5,50
6,2,58
4,1,55
1,2,62
9,2,29
6,5,25
4,1,63
5,5,63
10,5,19
4,1,30
4,2,67
3,2,77
4,4,43
6,3,81
7,1,34
4,1,47
10,1,60
5,3,53
7,1,72
6,4,31
2,2,79
9,3,27
3,2,37
1,1,72
6,2,43
10,2,57
10,4,37
3,5,71
4,5,43
5,5,65
10,5,40
7,1,71
2,4,48
3,1,34
9,5,39
10,4,90
10,3,62
6,1,70
2,5,39
4,5,30
2,4,58
5,4,42
2,4,46
7,1,45
8,3,59
2,3,53
2,4,91
5,4,21
4,4,41
5,2,65
1,2,52
8,4,30
9,1,2
3,3,43
6,4,53
3,3,18
4,4,60
10,2,53
8,2,54
9,3,9
7,1,64
1,3,40
8,4,70
6,3,57
1,1,58
7,2,4
8,3,36
5,3,42
2,1,42
10,4,32
8,5,0
8,3,22
5,4,0
4,3,76
7,5,34
5,4,63
6,4,67
6,3,58
9,5,94
9,1,67
10,3,12
2,5,45
7,4,39
5,3,81
4,1,60
7,4,24
9,5,81
